X,Y,ele,time,magvar,geoidheigh,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,wptx1_Wayp,layer,path
44.17103,-20.786754,59.042873000000000,2019/03/05 10:03:33.000,,,2 022502,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-MAR-19.gpx|layername=waypoints
44.170922,-20.786795,59.303218999999999,2019/03/05 10:05:27.000,,,2 022503,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-MAR-19.gpx|layername=waypoints
44.174934,-20.783827,80.950134000000006,2019/02/06 09:00:21.000,,,F1,Y21,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_06-FEB-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_06-FEB-19.gpx|layername=waypoints
44.172901,-20.778982,59.184669000000000,2019/03/06 02:40:33.000,,,6 022201,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_06-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_06-MAR-19.gpx|layername=waypoints
44.17284,-20.778802,70.229500000000002,2019/03/06 03:24:14.000,,,6 030601,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_06-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_06-MAR-19.gpx|layername=waypoints
44.170253,-20.779066,46.678131000000000,2019/03/07 03:09:50.000,,,6 020202,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
44.17026,-20.779229,55.202376999999998,2019/03/07 03:12:56.000,,,6 022501,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
44.171314,-20.780504,71.031326000000007,2019/03/07 03:28:10.000,,,6 030206,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
44.170401,-20.781192,58.828811999999999,2019/03/07 03:38:13.000,,,6 030207,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
44.1706,-20.78139,62.443390000000001,2019/03/07 03:46:10.000,,,6 011605,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
44.171489,-20.781762,63.350951999999999,2019/03/07 03:59:43.000,,,6 011702,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
44.172333,-20.781104,61.482418000000003,2019/03/07 04:12:26.000,,,3 011302,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
44.172492,-20.780549,66.248221999999998,2019/03/07 04:16:29.000,,,6 022206,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
44.172039,-20.78072,64.699050999999997,2019/03/07 04:20:08.000,,,6 022207,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
44.173657,-20.781392,67.214805999999996,2019/03/07 04:32:56.000,,,3 030301,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
44.174864,-20.781363,60.900944000000003,2019/03/07 04:41:39.000,,,3 030302,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
44.175304,-20.781126,63.894238000000001,2019/03/07 04:46:07.000,,,3 030303,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
44.175594,-20.781178,65.451117999999994,2019/03/07 04:52:59.000,,,3 030304,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
44.175791,-20.781104,65.780738999999997,2019/03/07 04:56:09.000,,,3 030306,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
44.17579,-20.781129,65.988129000000001,2019/03/07 04:57:05.000,,,3 030305,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_07-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_07-MAR-19.gpx|layername=waypoints
